Cim,Szerzo,Megjegyzes
Mic dic?ionar social-politic pentru tineret,Dan Cucu,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 20-ik könyv
Ideológia és tudomány (marxista-leninista eloadások),Kallós Miklós,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 21-ik könyv
Descentralizarea,Xavier Frege,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 22-ik könyv
Economia mondiala,Denis Auvers,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 23-ik könyv
Întrebari ?i raspunsuri despre mecanism economico-financiar,Ionel Dumbrava,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 24-ik könyv
Principele,Machiavelli,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 25-ik könyv
Din fauna terrei (fotografii),Ion Miclea,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 26-ik könyv
Válogatott versek,Lászlófy Aladár,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 27-ik könyv
Legszebb versei,Arany János,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 28-ik könyv
Rendszerelméleti fogalmak,Csiha Csaba,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 29-ik könyv
Élo lánc,RMDSZ,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 3-ik könyv
Dincolo de principiul placerii,Sigmund Freud,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 30-ik könyv
Gazdasági-társadalmi hatékonyság a szocializmusban,Vita László,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 31-ik könyv
A matematikai logika alapjai,Páter Zoltán,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 32-ik könyv
Gyümölcsfogyasztó emberiség,Veress István,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 33-ik könyv
Modelarea ?i estimarea structurii cheltuielilor de produc?ie,Ioan Florea,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 34-ik könyv
Zsebfilozófia avagy ezeregy igaz(nak vélt) mondás,Gherasim Emil,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 35-ik könyv
Opt zile pentru totdeauna,Corneliu Cotu?iu,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 36-ik könyv
Dorottya,Csokonai Vitéz Mihály,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 37-ik könyv
Szent Péter esernyoje,Mikszáth Kálmán,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 38-ik könyv
Elbeszélo költeményei,Petofi Sándor,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 39-ik könyv
Húsvéti ajándék,RMDSZ,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 4-ik könyv
Iliász,Homérosz,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 40-ik könyv
Szeptemberi emlék,Dávid Gyula,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 41-ik könyv
Nagyapó mesefája,Petre Judit,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 42-ik könyv
A vitéz szocs,Benedek Elek,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 43-ik könyv
Mari ganditori si filozofi francez,Névtelen,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 44-ik könyv
Számítástechnikai kislexikon,Névtelen,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 45-ik könyv
Gombáskönyv,Névtelen,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 46-ik könyv
Unitárius ösvény 1999,Névtelen,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 47-ik könyv
Quest-ce que le management?,Jacques Klein,Hálószóba/ 5-ös szekrény/ elsopolc hátul/ 48-ik könyv
Napló-jegyzetek,Süto András,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 5-ik könyv
Karácsonyi magyar szó,RMDSZ,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 6-ik könyv
Színlelni boldog szeretot,Miskolczi Miklós,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 7-ik könyv
Magyarok története,Benedek Elek,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 8-ik könyv
Erdélyi egyházaink évszázadai,RMDSZ,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 9-ik könyv
A napló,Moldova György,Hálószoba/ 5-ös szekrény/ 1-es polc/ elso könyv
A kérok,Kisfaludy Károly,Hálószoba/ 5-ös szekrény/ 1-es polc/ 10-ik könyv
VII. Gergely,Németh László,Hálószoba/ 5-ös szekrény/ 1-es polc/ 11-dik könyv
Lysistrate,Arisztophanész,Hálószoba/ 5-ös szekrény/ 1-es polc/ 12-dik könyv
Pjotruska,Karácsony Beno,Hálószoba/ 5-ös szekrény/ 1-es polc/ 13-dik könyv
Énekben hallottam...(régi magyar világi énekek),Névtelen,Hálószoba/ 5-ös szekrény/ 1-es polc/ 14-ik könyv
"""Turismul, tendinte si previziuni""",Francois Vellas,Hálószoba/ 5-ös szekrény/ 1-es polc/ 15-ik könyv
Regulamentul Camera Deputatilor,Névtelen,Hálószoba/ 5-ös szekrény/ 1-es polc/ 16-dik könyv
"""Sorsnavigátor, Héthetesek""",Sri Chinmoy,Hálószoba/ 5-ös szekrény/ 1-es polc/ 16-ik könyv
Újszövetség,Névtelen,Hálószoba/ 5-ös szekrény/ 1-es polc/ 17-dik könyv
"""Tót atyafiak, Gavallérok""",Mikszáth Kálmán,Hálószoba/ 5-ös szekrény/ 1-es polc/ 17-dik könyv
"""Szegényházi vásár, A farm""",J. Updike,Hálószoba/ 5-ös szekrény/ 1-es polc/ 18-ik könyv
Tökös-mákos rétes,Moldova György,Hálószoba/ 5-ös szekrény/ 1-es polc/ 19-ik könyv
Aranyecset,Dallas Sándor,Hálószoba/ 5-ös szekrény/ 1-es polc/ 2-ik könyv
Bálványosvár,Jókai Mór,Hálószoba/ 5-ös szekrény/ 1-es polc/ 20-dik könyv
Hova mennek a bányászok?,Benko Levente,Hálószoba/ 5-ös szekrény/ 1-es polc/ 21-ik könyv
A különvonat utasai,Látó Anna,Hálószoba/ 5-ös szekrény/ 1-es polc/ 22-ik könyv
Költemények,József Attila,Hálószoba/ 5-ös szekrény/ 1-es polc/ 23-dik könyv
Povesii,Mihai Eminescu,Hálószoba/ 5-ös szekrény/ 1-es polc/ 24-dik könyv
John Smith kapitány utazásai és cselekedetei,Névtelen,Hálószoba/ 5-ös szekrény/ 1-es polc/ 25-ik könyv
A sötét világ,Tolnai Lajos,Hálószoba/ 5-ös szekrény/ 1-es polc/ 26-dik könyv
Kolumbusz hajónaplója,Kolumbusz,Hálószoba/ 5-ös szekrény/ 1-es polc/ 27-dik könyv
Szélrózsa,Létay Lajos,Hálószoba/ 5-ös szekrény/ 1-es polc/ 27-dik könyv
Ember a kénosteton,Czego Zoltán,Hálószoba/ 5-ös szekrény/ 1-es polc/ 28-ik könyv
Gondolatok,Pascal,Hálószoba/ 5-ös szekrény/ 1-es polc/ 29-dik könyv
A nap szerelmese,Dallas Sándor,Hálószoba/ 5-ös szekrény/ 1-es polc/ 3-ik könyv
Arta de a iubi,Don Miguel Ruiz,Hálószoba/ 5-ös szekrény/ 1-es polc/ 30-ik könyv
A rózsafuzér,Névtelen,Hálószoba/ 5-ös szekrény/ 1-es polc/ 32-dik könyv
Tibéry Géza,Tibéry Géza,Hálószoba/ 5-ös szekrény/ 1-es polc/ 33-dik könyv
Mit tettem mint fizikus?,Névtelen,Hálószoba/ 5-ös szekrény/ 1-es polc/ 4-dik könyv
Ezt látják a csillagok,A. J. Cronin,Hálószoba/ 5-ös szekrény/ 1-es polc/ 4 és 5-ik könyv
A magyar elbeszéloi költészet remekeibol,Névtelen,Hálószoba/ 5-ös szekrény/ 1-es polc/ 47-dik könyv
Nagyapó mesefája,Névtelen,Hálószoba/ 5-ös szekrény/ 1-es polc/ 49-dik könyv
Aztán megjött Michael,Colleen McCullough,Hálószoba/ 5-ös szekrény/ 1-es polc/ 6-ik könyv
Ábel a rengetegben,Tamási Áron,Hálószoba/ 5-ös szekrény/ 1-es polc/ 7 és 8-dik könyv
Machiavelli,Névtelen,Hálószoba/ 5-ös szekrény/ 1-es polc/ 8-dik könyv
Ármány és szerelem,Schiller,Hálószoba/ 5-ös szekrény/ 1-es polc/ 9-dik könyv
Economia politica,Gilberet Abraham-Frois,Hászlószóba/ 5-ös szekrény/ 2-ik polc hátul/ elso könyv
"""Economia de pia?a (micro, macro, mondoeconomie)""",Alexandru Farkas,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 10-ik könyv
"""Értékpapírpiac, tozsde""",Sulyok-Pap Márta,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 11-ik könyv
Államháztartás,Turján Sándor,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 12-ik könyv
Árszínvonal-emelkedés - infláció,Bánfi Tamás,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 13-ik könyv
A mai világ és a jövo forgatókönyvei (nemzeti stratégia 2020,Varga Csaba,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 14-ik könyv
Kossuth Lajos kora és az erdélyi kérdés,Asztalos Miklós,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 15-ik könyv
Probleme globale ale omenirii,Lester R. Brown,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 16-ik könyv
Dialoguri Întâmplatoare despre lumea an care traim,Viorel Salagean,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 17-ik könyv
Via?a lui Mihai Eminescu,G. Calinescu,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 18-ik könyv
La izvoarele viitorului,Amadou-Mahtar M”Bow,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 10-ik könyv
Statistica pentru managementul afacerilor,Alexandru Isaic-Maniu,Hászlószóba/ 5-ös szekrény/ 2-ik polc hátul/ 2-ik könyv
Dic?ionar al gre?elilor de limba,Alecandru Graur,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 20-ik könyv
"""Timpul trairii, timpul marturisirii (jurnal Parizian)""",Eugen Simion,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 21-ik könyv
A molekulák és az élet,Módy Jeno,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 22-ik könyv
A földtol a homlounkig (versek),Lendway Éva,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 23-ik könyv
Székely templomerodök,Gyöngyössy János,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 24-ik könyv
Boszorkánygyuru,Panek Zoltán,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 25-ik könyv
Cerul vazut prin lentila,R. Patapievici,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 26-ik könyv
Sötétkamra,Oláh István,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 27-ik könyv
Vadpáva,Kemény János,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 28-ik könyv
Voievodatul Transilvaniei IV,?tefan Pascu,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 29-ik könyv
Economie politica,Ni?a Dobrota,Hászlószóba/ 5-ös szekrény/ 2-ik polc hátul/ 3-ik könyv
Lengyelország,Mizsei Kálmán,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 30-ik könyv
Termelés management,Vörös József,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 31-ik könyv
Az önkormányzatok gazdálkodása,Elmer Antalné,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 32-ik könyv
Corpuri de iluminat,Stelian Tanase,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 33-ik könyv
Istoria secreta a petrolului,Jacques de Launay,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 34-ik könyv
Semenii întru ra?iune,Mihai E. ?erban,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ 35-ik könyv
Macroeconomie dinamica,Emil Scarlat,Hálószóba/ 5-ös szekrény/ 2-ik polc hátul/ elso könyv
Integrarea economica europeana,Mihaela Lu?a?,Hászlószóba/ 5-ös szekrény/ 2-ik polc hátul/ 4-ik könyv
Probleme ale integrarii Româmiei în UE,Academia Româna,Hászlószóba/ 5-ös szekrény/ 2-ik polc hátul/ 5-ik könyv
Economie politica (teorie ?i politica economica pt. România),N. G. Niculescu,Hászlószóba/ 5-ös szekrény/ 2-ik polc hátul/ 6-ik könyv
Microeconomie/ macroeconomie,Gheorghe Oprescu,Hászlószóba/ 5-ös szekrény/ 2-ik polc hátul/ 7-ik könyv
Culgere de exerci?ii ?i probleme de algebra pentru licee,I. Stamate,Hászlószóba/ 5-ös szekrény/ 2-ik polc hátul/ 8-ik könyv
Statistica descrivtiva (teorie ?i aplica?ii),Ioan Florea,Hászlószóba/ 5-ös szekrény/ 2-ik polc hátul/ 9-ik könyv
Fekete éveim,Szántó György,Hálószóba/ 6-os szekrény/ 2-es polc/ 13-ik könyv
Nemo kapitány,Jules Verne,Hálószoba/ 5-ös szekrény/ 2-es polc/ elso és 2-dik könyv
Ascanio,Alexandre Dumas,Hálószoba/ 5-ös szekrény/ 2-es polc/ 10-dik könyv
A három testor,Alexandre Dumas,Hálószoba/ 5-ös szekrény/ 2-es polc/ 11 és 12-dik könyv
Dagadó vitorlákkal,Radu Tudoreanu,Hálószoba/ 5-ös szekrény/ 2-es polc/ 13-dik könyv
A fekete tulipán,Alexandre Dumas,Hálószoba/ 5-ös szekrény/ 2-es polc/ 13-dik könyv
A bécsi keringo meséje,George Sbarcea,Hálószoba/ 5-ös szekrény/ 2-es polc/ 14-dik könyv
A púpos,Paul Féval,Hálószoba/ 5-ös szekrény/ 1-es polc/ 15-ik könyv
A pármai kolostor,Stendal,Hálószoba/ 5-ös szekrény/ 2-es polc/ 16-dik könyv
Kilencvenhárom,Victor Hugo,Hálószoba/ 5-ös szekrény/ 2-es polc/ 17-dik könyv
A neveto ember,Victor Hugo,Hálószoba/ 5-ös szekrény/ 2-es polc/ 18 és 19-dik könyv
Tom Sawyer/ Huchleberry Finn,Mark Twain,Hálószoba/ 5-ös szekrény/ 2-es polc/ 20-dik könyv
A játéember,Mátyás Ferenc,Hálószoba/ 5-ös szekrény/ 2-es polc/ 21-dik könyv
Koldus és királyfi,Mark Twain,Hálószoba/ 5-ös szekrény/ 2-es polc/ 21-dik könyv
Fehér Agyar,Jack London,Hálószoba/ 5-ös szekrény/ 2-es polc/ 22-dik könyv
Shakespeare-mesék,Charles és Mary Lamb,Hálószoba/ 5-ös szekrény/ 2-es polc/ 23-dik könyv
Tüskevár,Fekete István,Hálószoba/ 5-ös szekrény/ 2-es polc/ 24-dik könyv
Esze Tamás talpasai,Szántó György,Hálószoba/ 5-ös szekrény/ 2-es polc/ 25-dik könyv
Kétévi vakació,Jules Verne,Hálószoba/ 5-ös szekrény/ 2-es polc/ 3-dik könyv
Dagadó vitorlákkal,Radu Tudorean,Hálószoba/ 5-ös szekrény/ 2-es polc/ 4-ik könyv
Árvácska,Móricz Zsigmond,Hálószoba/ 5-ös szekrény/ 2-es polc/ 5-dik könyv
Légy jó mindhalálig,Móricz Zsigmond,Hálószoba/ 5-ös szekrény/ 2-es polc/ 6-dik könyv
"Monte-Cristo grófja, Alexandre Dumas","""Hálószoba/ 5-ös szekrény/ 2-es polc/ 7"," 8 és 9-dik könyv"""
A román nép anyagi é szellemi muveltségének folytonossága az,Ligia Bârzu,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ elso könyv
Despre democra?ie în America vol. 1,Alexis de Tocqueville,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 10-ik könyv
Nogyógyászati rákmegelozés és korai felismerés,I. Nyirjesy,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 11-ik könyv
A székelyek,Makkai János,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 12-ik könyv
"""Hogyan lettek a blakokból románok, Flaccustól a román áfiumi""",Makkai János,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 13-ik könyv
...legszebb költeményei,Ady Endre,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 14-ik könyv
"""Gazdaság, eurórégiók 1999""",RMKT,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 15-ik könyv
"""Gazdaságpolitika, gazdaságirányítás""",Havasi Ferenc,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 16-ik könyv
Istoria comer?ului mondial ?i a politicii comerciale,Nicolae Suta,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 17-ik könyv
Evolu?ia economiei române?ti dupa razboiul mondial,Virgil N. Madgearu,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 18-ik könyv
"""Kaisha, la strategie des entreprises japonaises""",James C. Abegglen,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 19-ik könyv
Orele astrale ale sportului,Victor Banciulescu,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 2-ik könyv
Coopera?ia (martie 2001),Névtelen,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 20-ik könyv
Pre?uri ?i tarife,Constantin Ionete,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 21-ik könyv
Oszi vásár,Fekete István,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 22-ik könyv
Az erdélyi falu és nemzetiségi kérdés,Mikó Imre,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 23-ik könyv
Quo vadis Romania?,Tóth Sándor,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 24-ik könyv
Fej vagy írás,Lászlófy Csaba,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 25-ik könyv
Eszeveszett illúziók avagy tanúnak jelentkezem,Kiss János,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 26-ik könyv
Magyar szavaink nyomában,Komoróczy György,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 27-ik könyv
Pályakép fénnyel és árnyékkal,Nagy Olga,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 28-ik könyv
Egy küzdelmes élet,György Zsuzsa,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 29-ik könyv
Zile ?i nop?i pe stadion,Ioan Chirla,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 3-ik könyv
Picula,Ábrahám János,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 30-ik könyv
Székely rovásírásos emlékek,Ferenczi Géza,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 31-ik könyv
"""Erdélyi utakon, régi kolozsvári arcok""",Kozma Dezso,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 32-ik könyv
Tünteto magnóliák,Beke Sándor,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 33-ik könyv
Anyanyelvünk ösvényein,Murádi László,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 34-ik könyv
Tudományos vegetarianizmus,Edmond Bordeaux Székely,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 35-ik könyv
Ghid al marilor civiliza?ii antice,Lydia Ciuca,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 36-ik könyv
Gândirea economica de dupa Keynes,Michel Beaud,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 37-ik könyv
Barangolás a képzomuvészetben,Nagy Pál,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 38-ik könyv
Irodalmi hármaskönyv,Benedek Marcell,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 39-ik könyv
Contabilitate pentru cadrele de conducere,Dr. C. M. Dragan,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 4-ik könyv
Az utolsó négy nap,Dehel Gábor,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 40-ik könyv
Mi micsoda magyarul a számítástechnikában,Kis Ádám,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 41-ik könyv
Autoportret cu palimpsest,Ana Blandiana,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 42-ik könyv
"""Ultima noapte de dragoste, Întâia noapte de razboi""",Camil Petrescu,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 43-ik könyv
Adolescen?a,Vasile Ni?escu,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 44-ik könyv
"""Hogyan Legyek gazda, farmer, magánvállalkozó""",Hajagos Antal,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 45-ik könyv
Kármento (versek),Balogh József,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 46-ik könyv
Donki Ákos,Molnár H. Lajos,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 47-ik könyv
Elozés hajtukanyarban,Egyed Péter,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 48-ik könyv
Lacrimile dimine?ii,Adrian Severin,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 49-ik könyv
"""Libertate ?i dezvoltare, economia pie?ei libere""",Leszek Balcerowicz,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 5-ik könyv
"""Blajul, o istorie în texte""",Teodor Seiceanu,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 6-ik könyv
Modele ale balan?ei legaturilor dintre ramiri,Aurora Baciu,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 7-ik könyv
"""Rela?ile interna?ionale postbelice, 1945-1964""",Nicolae Ecobescu,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 8-ik könyv
Rela?iile interna?ionale postbelice,Nicolae Ecobescu,Hálószóba/ 5-ik szekrény/ 3-ik polc hátul/ 9-ik könyv
Egyházak és vallások a mai Magyarországon,Névtelen,Hálószoba/ 5-ös szekrény/ 3-as polc/ 12-ik könyv
Leltár az évszakokról,Szilágyi Domokos,Hálószóba/ 6-os szekrény/ 3-as polc/ 19-ik könyv
Összes versei,Kosztolányi Dezso,Hálószóba/ 6-os szekrény/ 3-as polc/ 13-ik könyv
Szeretem az igazságot,Németh László,Hálószóba/ 6-os szekrény/ 3-as polc/ 11 és 12-ik könyv
Költemények,Arany János,Hálószóba/ 6-os szekrény/ 3-as polc/ 9-ik könyv
Biblia,Névtelen,Hálószoba/ 5-ös szekrény/ 3-as polc/ 2-dik könyv
A kereszténység története,Névtelen,Hálószoba/ 5-ös szekrény/ 3-as polc/ 13-dik könyv
Emlékirataim,Mindszenti,Hálószoba/ 5-ös szekrény/ 3-as polc/ 15-dik könyv
Átlépni a remény küszöbén,II. János Pál,Hálószoba/ 5-ös szekrény/ 3-as polc/ 19-dik könyv
Márton Áron,P. Szoke János,Hálószoba/ 5-ös szekrény/ 3-as polc/ 20-dik könyv
Vannak vidékek,Kányádi Sándor,Hálószóba/ 6-os szekrény/ 3-as polc/ 22-ik könyv
Felemás oszi versek,Kányádi Sándor,Hálószóba/ 6-os szekrény/ 3-as polc/ 21-ik könyv
Erdélyi magyar ki kicsoda?,Névtelen,Hálószoba/ 5-ös szekrény/ 4-es polc/ 2-dik könyv
Családi egészségtan,Névtelen,Hálószoba/ 5-ös szekrény/ 4-es polc/ 3-dik könyv
Diákenciklopédia,Laurause,Hálószoba/ 5-ös szekrény/ 4-es polc/ 4-dik könyv
Természettudományi kislexikon,Névtelen,Hálószoba/ 5-ös szekrény/ 4-es polc/ 5-dik könyv
Magyar Laurause A-Z,Laurause,Hálószoba/ 5-ös szekrény/ 4-es polc/ 6-dik könyv
Székelyföld leírása,Orbán Balázs,Hálószoba/ 5-ös szekrény/ 4-es polc/ 7-dik könyv
Újszövetségi Szentírás,P. Békés Gellért,Hálószóba/ 6-ik szekrény/ elso polc hátul/ elso könyv
A magyar irodalom kezdetei,Mózes Huba,Hálószoba/6-os szekrény/ elso polc hátul/ 10-ik könyv
Illo igék,Tudor Arghezi,Hálószoba/6-os szekrény/ elso polc hátul/ 11-ik könyv
Szarvasbika,Tabéry Géza,Hálószoba/6-os szekrény/ elso polc hátul/ 12-ik könyv
Ferenc tekintetes úr,Szentimrei Jeno,Hálószoba/6-os szekrény/ elso polc hátul/ 13-ik könyv
Károly József Irén nagyváradi fizikus,Heinrich László,Hálószoba/6-os szekrény/ elso polc hátul/ 14-ik könyv
Gondolatok a könyvtárban,Vörösmarthy Mihály,Hálószoba/6-os szekrény/ elso polc hátul/ 15-ik könyv
Az ember tragédiája,Madách Imre,Hálószoba/6-os szekrény/ elso polc hátul/ 16-ik könyv
Erdélyi politikai viccek,Zsigmond Gyözo,Hálószoba/6-os szekrény/ elso polc hátul/ 17-ik könyv
Kárpáthy Zoltán,Jókai Mór,Hálószoba/ 6-os szekrény/ elso polc hátul/ 18 és 19-ik könyv
"""Katolikus imakönyv, életünk Krisztusban""",Névtelen,Hálószóba/ 6-ik szekrény/ elso polc hátul/ 2-ik könyv
